"Name" "Frequency_presence" "Total_count"
"Microcystis wesenbergii" 27 505811388
"mougeotia spp" 22 89269
"Mougeotia spp" 23 304419060
"Mougeotia spp - small" 12 20401496
"Navicula spp" 0 0
"Navicula spp md" 1 185037
"Naviculaceae" 0 0
"Nephrocytium spp" 1 1466111
"Oocystis spp" 3 1616235
"Oscillatoria spp" 4 526572
"Oscillatoriaceae 1" 6 263508
"Oscillatoriaceae 2" 3 3874353
"Oscillatoriaceae 4" 1 105712
"Oscillatoriaceae 6" 1 9855
"Pandorina morum" 18 47294911
"Pediastrum Boryanum" 6 6592254
"Pediastrum duplex" 56 229252773
"Pediastrum simplex" 46 89062418
"Pennales lg" 34 286588683
"Pennales md" 191 427802109
"Pennales sm" 0 0
"Pennales star" 17 28160524
"Peridinium spp" 26 5458490633
"Phormidium mucicola" 18 12307384
"Planktothrix spp" 1 125454
"Pseudanabaena" 1 84619
"Pyrrophyta" 0 0
"Pyrrophyta cyst" 0 0
"Pyrrophyta cyst 2" 0 0
"Quadrigula spp" 2 314046
"Rhizosolenia" 108 832803893
"Rhizosolenia sp 2" 12 5731908
"Romeria spp" 2 1024586
"Scenedesmus arcuatus" 0 0
"Scenedesmus bijuga" 0 0
"Scenedesmus dimorphus" 0 0
"Scenedesmus quadricauda" 2 2160355
"Scenedesmus sp 1" 0 0
"Scenedesmus spp" 0 0
"Schizochlamys spp" 4 2714337
"Selenastrum ?minutum" 0 0
"Selenastrum minutum" 0 0
"Selenastrum spp" 0 0
"Snowella spp" 4 831999
"Sphaerocystis spp" 11 9127133
"Spirogyra spp" 10 228125583
"Spirulina spp" 0 0
"Spondylosium spp" 2 2757713
"Staurastrum sp 1" 123 236185167
"Staurastrum sp 3" 4 32439685
"Staurodesmus sp 1" 2 5795380
"Staurodesmus spp" 1 415
"Stephanodiscus" 131 3591456756
"Synedra ulna" 92 677501085
"Synura spp" 41 134095026
"Tabellaria flocculosa" 8 14173906
"Tabellaria sp 3" 1 874800
"Tabellaria spp" 187 3829280811
"Tetraedron ?gracile" 0 0
"Tetraedron ?limneticum" 0 0
"Tetraedron caudatum" 0 0
"Tetraedron minimum" 0 0
"Tetraedron spp" 0 0
"Tetraspora lamellosa" 5 3139561
"Tetraspora spp" 24 10059657
"Tetrasporales" 19 12569962
"Tetrasporales single cell" 1 282
"Trachelomonas 4" 0 0
"Trachelomonas sp 5" 0 0
"Treubaria spp" 0 0
"Ulothrix spp" 2 1332623
"Ulothrix spp - sm" 41 647529928
"unknown cyanobacteria trichome" 6 1209901
"Volvox spp" 11 77133987
"Woronichinia spp" 194 417489747
"Xanthidium sp 1" 1 3730013
